date,symbol,exec_price,shares,reason
2018-04-24,AMZN,73.43104412612915,-787.5829585507071,fixed
2018-04-24,NFLX,31.253616244316103,-1255.0557959610778,fixed
2018-04-24,NFLX,30.24539909362793,-1255.0557959610778,trailing
2018-04-30,INTC,44.423262366293336,-1097.6109750597657,fixed
2018-06-08,AMD,14.520000457763672,-2694.1065720818738,fixed
2018-06-21,AMD,15.99943986812359,-3015.532367308454,fixed
2018-06-25,NFLX,40.00936770489877,-1482.3349894107407,fixed
2018-06-25,AMD,14.998495246195793,-3151.9673532216657,fixed
2018-06-28,NFLX,38.73755959310532,-1484.8626083231966,fixed
2018-07-16,NFLX,39.41364152312934,-1540.0835399405428,fixed
2018-07-23,AMD,16.082334867279847,-2490.1069601261474,fixed
2018-07-25,AMD,15.920456249999997,-2452.38547261522,fixed
2018-07-26,META,173.52823024051227,-336.7488578456804,fixed
2018-07-26,META,173.52823024051227,-336.7488578456804,trailing
2018-07-31,AMD,18.420784637784966,-1807.6676000165412,fixed
2018-08-09,TSLA,23.38738870568275,-1927.781838141396,fixed
2018-08-15,TSLA,22.713185023498532,-1909.1326048611222,fixed
2018-08-17,AMD,18.857567079544065,-1352.8922537509884,fixed
2018-09-06,AMD,27.92553010511398,-884.3753219272031,fixed
2018-09-14,AMD,31.43000030517578,-931.4480064874923,fixed
2018-09-19,AMD,31.32483134374619,-964.9018657154604,fixed
2018-09-27,AMD,31.493756519649615,-986.1448685921623,fixed
2018-10-01,AMD,30.643315595340724,-967.7016007553159,fixed
2018-10-03,AMD,29.040000915527344,-995.6100587269121,fixed
2018-10-08,AMD,26.653166460227965,-1009.3859416165587,fixed
2018-10-10,QCOM,55.77426395252469,-1208.8954110726324,fixed
2018-10-10,QCOM,56.08424377441406,-1208.8954110726324,trailing
2018-10-11,AMD,24.739999771118164,-961.9489885147377,fixed
